Chan,Counts
477,6
478,6
479,6
480,5
481,4
482,3
483,5
484,5
485,6
486,4
487,7
488,1
489,4
490,8
491,4
492,2
493,4
494,4
495,8
496,5
497,2
498,5
499,3
500,3
501,6
502,5
503,4
504,2
505,4
506,5
507,4
508,6
509,4
510,3
511,5
512,4
513,5
514,9
515,5
516,5
517,6
518,11
519,6
520,5
521,6
522,10
523,12
524,4
525,6
526,2
527,6
528,9
529,7
530,10
531,6
532,8
533,6
534,8
535,6
536,8
537,8
538,7
539,5
540,4
541,2
542,8
543,5
544,7
545,2
546,2
547,5
548,6
549,0
550,5
551,3
552,1
553,2
554,1
555,4
556,1
557,0
558,1
559,0
560,3
561,3
562,2
563,2
564,4
565,1
566,1
567,3
568,1
569,2
570,1
571,0
572,1
573,2
574,0
575,6
576,1
577,2
578,1
579,2
580,1
581,0
582,3
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,1
598,0
599,2
600,0
601,0
602,0
603,0
604,0
605,1
606,0
607,2
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,2
699,0
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,1
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,1
853,0
854,0
855,0
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,1
976,0
977,0
978,0
979,0
980,0
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
